PM_fall_La,xcoordinat,ycoordinat,pmF7,pmF8,pmF9,pmF10,pmF11,no2F7,no2F8,no2F9,no2F10,no2F11,GroupCount,median_gas,median_tmp,median_dwp,median_rel,median_drc,median_skn,median_msl,median_vsb,median_fee,log_CalibN,Calib_NO2,StDist,HwDist,BsRtDist,TrkRtDist,BsDpDist,PortDist,RlydDist,WstProcDist,WtTrtDist,AportDist,RstrDist,StLength_50,HwLength_50,BsRtLength_50,TrkRtLength_50,AADT_50,TruckAADT_50,BldArea_50,RsdArea_50,RsdUnit_50,IndArea_50,ComArea_50,RecArea_50,CATS_50,Bnchmrk_50,TotalPopu_50,StLength_100,HwLength_100,BsRtLength_100,TrkRtLength_100,AADT_100,TruckAADT_100,BldArea_100,RsdArea_100,RsdUnit_100,IndArea_100,ComArea_100,RecArea_100,CATS_100,Bnchmrk_100,TotalPopu_100,StLength_250,HwLength_250,BsRtLength_250,TrkRtLength_250,AADT_250,TruckAADT_250,BldArea_250,RsdArea_250,RsdUnit_250,IndArea_250,ComArea_250,RecArea_250,CATS_250,Bnchmrk_250,TotalPopu_250,StLength_500,HwLength_500,BsRtLength_500,TrkRtLength_500,AADT_500,TruckAADT_500,BldArea_500,RsdArea_500,RsdUnit_500,IndArea_500,ComArea_500,RecArea_500,CATS_500,Bnchmrk_500,TotalPopu_500,StLength_1000,HwLength_1000,BsRtLength_1000,TrkRtLength_1000,AADT_1000,TruckAADT_1000,BldArea_1000,RsdArea_1000,RsdUnit_1000,IndArea_1000,ComArea_1000,RecArea_1000,CATS_1000,Bnchmrk_1000,TotalPopu_1000,BusDepot_50,Port_50,Railyard_50,WasteProc_50,WaterTreat_50,Airport_50,Restaurant_50,BusDepot_100,Port_100,Railyard_100,WasteProc_100,WaterTreat_100,Airport_100,Restaurant_100,BusDepot_250,Port_250,Railyard_250,WasteProc_250,WaterTreat_250,Airport_250,Restaurant_250,BusDepot_500,Port_500,Railyard_500,WasteProc_500,WaterTreat_500,Airport_500,Restaurant_500,BusDepot_1000,Port_1000,Railyard_1000,WasteProc_1000,WaterTreat_1000,Airport_1000,Restaurant_1000
"34349",1003202.319000000017695,234771.377899999992223,8.324892370000002,7.352902700000000,7.681048666000000,6.188450217000000,7.050925462000000,26.458661310000000,26.742707450000001,25.877753569999999,23.032599460000000,22.265341650000000,"40",373.000000000000000,9.388888888888889,-2.675925925925930,43.728749999999998,338.166666666667027,5.744580000000000,102.601666666667015,16.100000000000001,6.537962962962960,1.975059900000000,7.207183000000000,1,1,184.3770252,1,653.5518788,1243.467436,43.45680121,141.0077482,1326.045534,3142.919984,476.5976484,513.9513952,774.057304,0,1082.128657,"1214053","125539","706441","336394","430","330956","0","0","0",540100.1,"380",960.7560397,1127.949879,0,1544.019659,"1214053","125539","811547","336394","430","436062","71737","0","0",3430383.5,"380",3857.585995,3218.969422,1479.393026,3891.149539,"2059231","168204","3011629","1787230","2095","1039508","178956","27301","4",24000752.2,"11147",13588.91442,7545.417274,8081.223797,9577.924114,"2981234","217711","15092115","10047135","10703","4540544","727699","351557","53",417451656.7,"27219",51129.43421,15241.45012,30043.62218,22756.08618,"4879977","368331","53145365","33455861","38567","17949242","1296279","2301420","390",1746339368,"95241","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","3","1","0","0","0","0","0","3","3","0","0","2","2","0","5","8","0","0","32"
"34350",1003202.319000000017695,235099.461899999994785,8.633384477000000,7.654584369000000,7.944471654000000,6.264275642000000,7.153126970000000,23.486110879999998,23.805744539999999,22.883196420000001,20.555223760000001,19.680392359999999,"20",402.500000000000000,10.388425925925899,-1.416666666666670,49.741000000000000,277.083333333332973,5.170122000000000,102.482333333333997,16.100000000000001,10.039074074074099,2.083374900000000,8.031542500000000,1,1,101.5191027,1,751.9436637,1143.467233,50.7296656,138.5244465,1393.392688,3229.494767,442.7066291,480.3156663,1005.07525,0,1006.788053,"1214053","125539","71588","0","0","71588","0","11692","0",0,"380",870.7386172,1473.456841,0,1586.563859,"1214053","125539","396633","0","0","373911","30037","11692","0",540100.1,"380",3840.304686,3555.833253,2056.012606,3874.369534,"2148386","177970","2806464","1501306","1883","1101282","325706","27301","2",20030023.9,"9601",13582.97498,7171.645058,8430.954712,9356.426492,"2906868","213309","15145922","9620421","10728","4878496","799649","226171","47",619512035.6,"25045",51037.52997,14438.19293,29773.75798,21829.10605,"4839082","361434","54034263","33601991","38191","18654588","1202161","1773541","414",1791976793,"89886","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","1","0","0","0","0","0","3","3","0","0","1","2","0","6","7","0","0","29"
"34351",1003202.319000000017695,235427.545899999997346,8.809509544000004,7.822013929000000,8.105324513999999,6.355252222000000,7.252047020000000,23.360992010000000,23.644728659999998,22.620591640000001,20.169345249999999,19.335101999999999,"16",360.000000000000000,13.018518518518500,1.041666666666670,49.711833333333402,330.166666666667027,5.658840000000000,102.034499999999994,16.100000000000001,13.018518518518500,2.325827600000000,10.235156500000000,1,1,16.60511625,1,850.7106264,1043.46703,51.86683018,156.888021,1464.475909,3316.824831,406.0433438,557.9230203,945.4820108,220.8051573,955.0319344,"1053789","103637","48208","0","0","48208","0","11692","0",0,"380",1208.878478,1460.614569,638.5127838,1825.90294,"1253156","118691","294544","0","0","284304","132594","11692","0",627400,"380",4218.430626,3729.59963,2530.751302,4374.342217,"2157088","176647","2718910","1321169","1828","1210049","418955","27301","2",27965661.7,"9601",14219.10496,7141.677361,8336.678355,8945.396257,"2863931","212504","17067219","10732866","12138","5471334","838364","102690","42",611998282.4,"23313",51989.38163,13970.44968,29527.86544,21776.33358,"4540182","347681","56799941","35235060","39400","19842632","1302575","2476617","452",2071796248,"98297","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","1","0","0","0","0","0","4","1","0","0","1","1","0","6","7","0","0","26"
"34352",1003202.319000000017695,235755.629899999999907,8.894710570999999,7.897614620000000,8.191102020000002,6.404147623000000,7.303251759000000,28.020499890000000,28.181251970000002,26.875365880000000,23.406748669999999,22.514308700000001,"88",404.000000000000000,9.852314814814809,-1.950925925925930,48.113999999999997,339.750000000000000,5.092956000000000,102.564833333332999,16.100000000000001,9.128657407407410,1.883151400000000,6.574192500000000,1,1,1,1,945.992036,943.4668264,121.8625559,222.1364653,1538.777527,3404.852059,392.1139069,720.2747645,684.7471322,463.1280965,1256.180353,"1181390","114177","234862","0","0","224622","132594","0","0",627400,"380",1190.151257,1432.047933,778.3085336,1923.075943,"1243260","118264","335195","0","0","275170","132594","11692","1",627400,"380",4089.616969,3797.521768,2668.980074,4188.418113,"1974996","174128","3668785","2076915","2594","1357765","343333","27301","5",41758193.1,"5717",14420.55234,7121.521718,7973.049352,8407.399219,"2476930","198234","18648863","10417346","11792","7457540","847680","404860","43",780189390.9,"23173",51936.51824,13423.6266,28796.16317,21733.96057,"4293500","324249","56555195","35098137","38974","19717305","1290676","2527014","446",2089618816,"101104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","4","2","0","0","1","2","1","10","7","0","0","19"
"34353",1003202.319000000017695,236083.713900000031572,8.943022727000002,7.935391734000000,8.231493251000000,6.438341729000000,7.367129017000000,23.191334099999999,23.420230530000001,22.431738859999999,20.267859980000001,19.382724750000001,"27",408.000000000000000,9.166666666666670,-1.968518518518520,45.756666666666703,40.000000000000000,3.240972000000000,101.943333333333001,16.100000000000001,7.616666666666670,1.872583300000000,6.505079300000000,1,1,9.209289835,1,856.0734619,843.4666232,216.8199213,306.7172127,1615.853628,3493.523753,392.0740707,584.3391108,772.0746044,240.0932742,1312.559934,"702519","64059","375467","0","0","348042","222304","0","2",5701383.4,"380",1266.622587,1034.206166,584.3569901,1967.708065,"1176349","113295","461107","0","0","401082","232544","0","2",5701383.4,"380",4131.21073,3724.85241,2678.984352,3839.061204,"1512162","124254","4647851","2833218","3476","1465536","322936","27301","5",43690660.7,"5717",15384.11816,7035.904619,8543.861175,8795.060724,"2570719","204703","16699222","8535441","10554","7415547","915835","404860","42",804355943.3,"24331",51575.34994,13017.23904,29008.40016,21538.71929,"4062112","306066","58145144","36251547","40051","20206879","1273091","2386437","455",2067829033,"99347","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","2","0","0","2","1","1","10","6","0","0","20"
"34354",1003202.319000000017695,236411.797800000000279,8.832503115000000,7.812523723000000,8.152141294000000,6.461295970000000,7.340606061000000,22.660451349999999,22.870005870000000,22.196283019999999,20.530154970000002,19.729248890000001,"13",408.000000000000000,9.185185185185190,-1.986111111111110,45.645000000000003,27.500000000000000,3.215250000000000,102.736999999999995,16.100000000000001,7.669629629629630,1.887657500000000,6.603881000000000,1,1,107.8012178,1,768.6499422,743.4664504,272.0538714,258.8425461,1695.325813,3582.792035,403.28098,502.8569933,621.7898113,0,1016.391433,"530905","52424","696039","0","0","668614","222304","0","2",5701383.4,"6",885.7630377,929.1248179,0,1456.325223,"530905","52424","837215","0","0","745560","222304","0","2",5701383.4,"6",4279.330581,3483.690221,2586.379823,3545.402536,"1537681","127917","5098405","2927819","3585","1730745","267879","41351","3",42815740.7,"3546",15092.95821,6780.599226,7987.084973,8492.434605,"2533379","202667","17081709","8527505","10427","7853010","959134","401020","39",929981879.4,"21216",51209.91072,13078.27002,29011.04955,21257.24034,"3651264","265900","58107504","36181624","40210","20323346","1350351","2550378","463",2056645351,"98175","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","6","1","1","11","6","0","0","18"
"34355",1003202.319000000017695,236739.881800000002841,8.431812753999999,7.395198263000000,7.821423979000000,6.434030001000000,7.252936591000000,22.161734500000001,22.357051460000001,21.691327330000000,20.075492090000001,19.315012520000000,"13",399.000000000000000,12.685185185185199,4.305555555555560,56.673333333333296,88.709677419354804,4.724274000000000,101.159666666666993,16.100000000000001,12.685185185185199,1.889509400000000,6.616122200000000,1,1,159.8061701,1,684.6778294,643.4662472,264.3924379,158.8423429,1776.872657,3672.613456,355.1195511,397.9762342,439.5824041,0,749.588318,"552355","54074","797054","271758","338","478180","0","0","0",1395483.6,"6",832.891529,791.2733647,0,1260.720475,"593859","58386","2384550","1299819","1558","783852","99950","0","1",5073983.4,"6",4093.515086,3205.88704,1943.458689,3221.068651,"1041096","78079","5470503","2872611","3523","2158051","339979","311912","5",54866007.2,"3546",14820.49095,6326.205021,7886.726648,8049.817841,"1791922","143977","16279133","7633738","9079","7962697","854431","822618","38",925227960.7,"22006",50590.54696,12891.95659,28732.56102,20684.74721,"3516566","257306","58786156","37056154","41127","20185324","1326858","2402827","462",2210180659,"101791","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","3","0","0","7","1","1","11","5","0","0","17"
"34363",1003202.319000000017695,239364.553799999965122,8.191964355000000,7.067225852000000,7.618376589000000,6.284094120000000,6.964371777000000,22.718580370000002,22.676089890000000,22.079785080000001,20.273587930000001,19.193545090000001,"10",468.000000000000000,12.694444444444400,4.313888888888890,57.123083333333298,48.500000000000000,4.115520000000000,102.637083333332995,16.100000000000001,12.694444444444400,2.601611900000000,13.493525999999999,1,1,188.210606,1,417.7475768,56.53537836,46.73757202,453.5073599,1997.125541,4406.99661,499.5008164,200.3891804,400.6006155,0,600.9897927,"500772","49292","1370912","0","0","1370912","0","463488","3",5177100,"0",344.0815397,944.9411734,0,901.2882858,"516178","50893","1370912","0","0","1370912","0","463488","3",5177100,"0",1745.64759,3423.095597,1352.860491,2085.804985,"724408","55044","5456685","2401365","2066","3016320","82650","609944","7",444492553.2,"4933",10075.27607,7516.768971,7807.195743,7438.151879,"1287697","92478","11184011","6044500","6229","5057608","259604","2379844","39",708803374.4,"22796",49298.42153,14237.6382,25908.50827,19560.48247,"2863453","208013","58043642","37555045","40035","19632315","948681","4756360","493",2639945162,"104483","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","3","0","0","0","0","1","1","5","1","0","0","0","1","1","8","2","0","0","21"
"34364",1003202.319000000017695,239692.637699999992037,8.153501899000000,7.017622644000000,7.565236912000000,6.217418371000000,6.887771890000000,23.185028729999999,23.116190199999998,22.500806449999999,20.596043840000000,19.365056469999999,"17",424.000000000000000,16.152777777777800,10.811111111111099,67.537999999999997,232.500000000000000,5.273010000000000,100.107500000000002,16.100000000000001,16.152777777777800,2.181236300000000,8.857248999999999,1,1,191.0774536,1,460.9497918,156.5355511,134.8836605,546.402019,1974.816092,4500.36781,512.0095722,296.1188758,943.8502073,0,600.9107639,"516178","50893","492539","0","0","492539","0","463488","2",5177100,"0",446.8294207,1460.290383,0,903.7687205,"516178","50893","1370912","0","0","1370912","0","463488","3",5177100,"0",1511.496998,4121.290762,1069.329531,2155.425648,"734275","55517","3414307","216988","257","3158319","82650","1034704","6",33814136,"4933",9282.180232,8006.922664,7165.124276,7744.565846,"1461795","109796","12471688","5975317","6076","6412384","253909","2731926","40",738517940.5,"18995",48588.18105,14081.40247,25285.27231,19319.20543,"2773539","201225","56909727","37718281","39604","18426525","733339","8451342","491",2778045031,"103665","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","5","0","0","0","0","1","1","8","2","0","0","21"
"34365",1003202.319000000017695,240020.721699999994598,8.096545359000000,6.949030816000000,7.482734226000000,6.130252429000000,6.884862725000000,23.513058569999998,23.416418069999999,22.854075620000000,20.992213860000000,19.726102810000000,"80",353.500000000000000,16.766666666666701,10.831944444444400,68.026333333333397,235.500000000000000,5.427342000000000,100.104500000000002,16.100000000000001,16.766666666666701,2.198819200000000,9.014362000000000,1,1,191.7001548,1,520.0350691,256.5357543,232.8151332,641.4370692,1957.367152,4594.018073,466.0542077,341.2311118,1583.720902,0,651.4055572,"516178","50893","492539","0","0","492539","0","463488","2",5177100,"0",391.3284069,2228.659438,0,1002.35088,"516178","50893","593774","0","0","593774","82650","463488","3",11812315.1,"0",1048.602141,4859.199567,878.6194309,2158.084328,"734155","56243","2769370","150910","197","2618460","82650","1091279","4",25862823.4,"682",9714.035615,8258.638892,7300.122581,8727.327668,"1616051","118478","12142123","5974713","6082","6092533","90102","3035201","32",723465388.5,"20199",48711.17638,14066.58602,25043.78918,19089.24004,"2714965","196021","59195353","40007042","42107","18486193","725014","8382889","500",2990141449,"102229","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","4","0","0","0","2","1","1","8","2","0","0","23"
