valid,tmpf,dwpf,relh,drct,sknt,mslp,vsby,feel
10-Aug,26.56349206,20.82804233,71.18571429,177,3.846051429,101.9061538,14.22166667,27.80820106
11-Aug,29.84188034,21.93162393,63.10846154,194.6153846,4.352953846,101.54,16.1,32.82905983
12-Aug,32.40972222,19.55208333,47.598125,219.2857143,4.4048925,101.4938462,16.1,34.43159722
13-Aug,32.68376068,19.04700855,45.55692308,237.5,3.007495385,101.6153846,16.1,34.35641026
14-Aug,30.34188034,19.1025641,51.29230769,320,4.313381538,101.7161538,16.1,31.75470085
15-Aug,25.73504274,12.06837607,42.89076923,64.61538462,3.759369231,102.1815385,16.1,25.60042735
16-Aug,25.04700855,14.64102564,52.90076923,101.5384615,4.11552,102.24,16.1,25.07606838
17-Aug,25.9957265,17.31196581,58.86538462,163.8461538,5.500550769,102.2323077,16.1,26.22777778
18-Aug,26.70987654,21.71604938,74.17555556,155.5555556,4.4299,102.1553846,16.1,28.13179012
19-Aug,29.25213675,20.11965812,58.61923077,244.6153846,6.529430769,101.2076923,16.1,31.00982906
20-Aug,26.61481481,19.44074074,64.90933333,131.3333333,2.74368,101.1638462,16.1,27.57703704
21-Aug,26.99673203,20.79084967,69.35588235,98.75,3.358990588,101.2776923,16.1,28.06339869
22-Aug,23.3042328,20.53968254,84.48904762,291,4.727948571,100.9030769,6.631666667,23.3042328
23-Aug,25.78362573,21.07309942,76.25105263,236.3157895,5.198551579,100.7015385,11.69368421,26.69912281
24-Aug,30.47435897,17.27777778,46.44076923,303.8461538,4.273809231,101.3538462,16.1,30.85128205
25-Aug,31.08547009,17.51282051,45.56,95,1.75767,101.8561538,16.1,31.67136752
26-Aug,31.90079365,20.6547619,52.16571429,181.5384615,3.270368571,101.8492308,16.1,34.68531746
27-Aug,29.50555556,20.57777778,60.0715,135,2.95803,101.7923077,13.383125,31.94888889
28-Aug,23.09259259,17.04074074,69.156,94,5.761728,102.4169231,16.1,23.09259259
29-Aug,22.14930556,19,82.369375,56.875,3.1187925,102.1546154,14.0875,22.14930556
30-Aug,27.43402778,20.78819444,67.4325,203.125,4.0190625,101.0715385,15.89875,29.11701389
31-Aug,27.98290598,17.36752137,53.79153846,275.3846154,3.759369231,100.8384615,16.1,28.33504274
1-Sep,21.78444444,19.86666667,89.0036,57.2,9.6303168,100.7130769,11.109,21.78444444
2-Sep,22.25793651,11.32539683,51.21428571,335,6.503991429,101.0423077,16.1,22.25793651
3-Sep,21.86752137,12.02564103,54.12230769,282.3076923,3.759369231,101.6415385,16.1,21.86752137
4-Sep,24.05952381,13.30952381,51.88142857,285.3846154,3.307114286,101.52,16.1,24.07261905
5-Sep,23.34444444,19.22222222,77.996,190.6666667,5.075808,101.0138462,15.99266667,23.34444444
6-Sep,25.91851852,15.21481481,55.59066667,286,5.48736,100.8769231,16.1,25.63407407
